ID	Delay	Delay2	Latency	Latency2	Success_Ratio	Energy	Hops	txPackets	rxPackets	ShortestPath	LongestPath	Orchestrators	Neighbors	Paths	Distance	DevFast	DevMedium	DevSlow	LoadSmall	LoadMedium	LoadBig
680	52.1945	53.9074	2.11355	3.82645	84.6154	0.740847	32	10	8	2	18	3	20	43	1194	0	2	6	0	7	1
937	41.9957	45.1104	1.91652	5.03123	100	0.740843	26	7	7	2	7	4	19	24	1127	0	2	7	2	4	3
862	31.3764	31.9983	0.477406	1.09926	90	0.740754	12	5	4	1	5	5	19	5	984	0	4	6	2	4	4
349	48.9913	51.6029	1.7134	4.32495	91.6667	0.740322	17	8	7	2	4	4	19	24	1116	0	2	7	2	0	7
545	50.5863	52.9368	0.772526	3.123	100	0.739879	24	9	9	1	6	4	19	24	1191	0	2	7	0	2	7
7	44.4402	45.2127	0.702423	1.4749	100	0.739848	17	5	5	1	8	5	19	5	1266	2	2	6	0	0	10
796	43.1852	44.3839	0.66832	1.86706	75	0.739777	22	8	5	1	11	4	19	24	1265	0	4	5	0	4	5
408	49.9231	52.9825	1.76943	4.82888	84.6154	0.739643	26	10	8	1	9	3	18	43	1221	2	0	6	0	2	6
497	48.4047	49.6699	1.06686	2.33212	90	0.739612	11	5	4	2	4	5	19	5	906	0	2	8	0	0	10
942	48.5594	52.252	1.36507	5.05759	84.6154	0.739415	18	9	7	1	6	4	18	24	1179	0	2	7	1	0	8
409	46.3283	49.1641	1.24874	4.08449	93.3333	0.739325	32	11	10	1	13	4	19	24	1002	0	1	8	1	2	6
412	65.8421	70.0919	1.38842	5.63822	76.4706	0.738444	23	14	10	1	11	3	20	43	1158	1	2	5	0	1	7
137	67.7166	70.8292	1.2629	4.3755	61.1111	0.738408	23	15	8	2	9	3	20	43	877	0	2	6	0	1	7
608	51.1195	53.8182	1.03373	3.73243	87.5	0.738292	14	12	10	1	3	4	20	24	873	0	2	7	2	0	7
21	110.526	114.551	3.82207	7.8465	71.4286	0.738272	59	13	9	4	18	1	18	81	1521	0	2	4	1	1	4
451	47.9135	50.5337	1.99973	4.61995	91.6667	0.738233	29	8	7	1	9	4	18	24	1210	0	2	7	0	4	5
829	54.0367	57.194	3.18256	6.33985	57.1429	0.738198	33	11	5	3	13	3	18	43	1159	0	2	6	0	2	6
875	46.3633	48.781	1.07508	3.49278	92.3077	0.738073	28	10	9	2	8	3	17	43	1043	2	2	4	0	2	6
3	149.506	153.17	1.04329	4.70755	87.5	0.738068	39	15	13	2	12	1	18	77	1157	1	0	5	1	0	5
176	37.5284	39.1489	1.29058	2.91112	100	0.737828	18	5	5	1	8	5	18	5	1263	2	4	4	0	2	8
254	37.1825	38.2061	0.583476	1.60703	100	0.73772	12	5	5	1	4	5	20	5	1172	2	2	6	2	0	8
700	47.9361	49.9145	1.75032	3.72875	91.6667	0.737244	15	8	7	1	5	4	20	24	929	0	2	7	2	2	5
992	48.3386	49.5732	4.03141	5.26608	90.9091	0.737057	22	7	6	2	7	4	18	24	868	0	2	7	0	4	5
274	38.6293	41.1737	1.32213	3.86656	100	0.736798	23	8	8	1	7	4	19	24	1388	0	2	7	1	4	4
50	55.5992	57.7213	1.20484	3.32689	92.3077	0.736532	17	9	8	1	3	4	19	24	1115	0	2	7	0	0	9
65	32.6522	35.5748	1.51141	4.43401	100	0.736243	21	7	7	1	6	4	19	24	975	0	3	6	4	0	5
345	42.5664	46.2918	1.4207	5.14611	100	0.736193	32	7	7	3	7	4	18	24	1074	0	3	6	1	2	6
530	54.9674	56.6628	0.653606	2.349	91.6667	0.736101	12	8	7	1	4	4	19	24	873	0	2	7	0	0	9
929	38.2773	39.0008	1.19777	1.92127	57.1429	0.736083	15	10	4	2	5	4	18	24	1140	2	1	6	2	4	3
902	95.7861	100.405	2.70125	7.32059	82.3529	0.735954	41	15	12	2	9	2	19	62	1149	1	2	4	0	1	6
692	47.2383	48.12	0.500484	1.38221	90.9091	0.735555	10	6	5	1	4	5	18	5	980	0	0	10	0	2	8
298	49.5243	54.1113	1.90738	6.49444	100	0.735264	32	7	7	2	10	4	18	24	1198	2	0	7	0	3	6
